sweep_parameter:V,band_info:CB:sign,band_info:IB:sign,band_info:VB:sign,avg:current_CB:n_contact,avg:current_CB:p_contact,tot:current_CB:n_contact,tot:current_CB:p_contact,avg:g_CB:em,avg:g_CB:bar,avg:g_CB:win,avg:g_CB:buf,avg:g_CB:I,tot:g_CB:em,tot:g_CB:bar,tot:g_CB:win,tot:g_CB:buf,tot:g_CB:I,tot:g_SRH_CB:em,tot:g_SRH_CB:bar,tot:g_SRH_CB:win,tot:g_SRH_CB:buf,tot:g_SRH_CB:I,tot:g_nr_top_CB:em,tot:g_nr_top_CB:bar,tot:g_nr_top_CB:win,tot:g_nr_top_CB:buf,tot:g_nr_top_CB:I,tot:g_nr_bottom_CB:em,tot:g_nr_bottom_CB:bar,tot:g_nr_bottom_CB:win,tot:g_nr_bottom_CB:buf,tot:g_nr_bottom_CB:I,tot:g_opt_cv_CB:em,tot:g_opt_cv_CB:bar,tot:g_opt_cv_CB:win,tot:g_opt_cv_CB:buf,tot:g_opt_cv_CB:I,tot:g_opt_ci_CB:em,tot:g_opt_ci_CB:bar,tot:g_opt_ci_CB:win,tot:g_opt_ci_CB:buf,tot:g_opt_ci_CB:I,tot:g_opt_iv_CB:em,tot:g_opt_iv_CB:bar,tot:g_opt_iv_CB:win,tot:g_opt_iv_CB:buf,tot:g_opt_iv_CB:I,tot:gother_forward_ci:em,tot:gother_forward_ci:bar,tot:gother_forward_ci:win,tot:gother_forward_ci:buf,tot:gother_forward_ci:I,tot:gabs_forward_ci:em,tot:gabs_forward_ci:bar,tot:gabs_forward_ci:win,tot:gabs_forward_ci:buf,tot:gabs_forward_ci:I,tot:gother_forward_iv:em,tot:gother_forward_iv:bar,tot:gother_forward_iv:win,tot:gother_forward_iv:buf,tot:gother_forward_iv:I,tot:gabs_forward_iv:em,tot:gabs_forward_iv:bar,tot:gabs_forward_iv:win,tot:gabs_forward_iv:buf,tot:gabs_forward_iv:I,tot:gother_forward_cv:em,tot:gother_forward_cv:bar,tot:gother_forward_cv:win,tot:gother_forward_cv:buf,tot:gother_forward_cv:I,tot:gabs_forward_cv:em,tot:gabs_forward_cv:bar,tot:gabs_forward_cv:win,tot:gabs_forward_cv:buf,tot:gabs_forward_cv:I,avg:current_IB:n_contact,avg:current_IB:p_contact,tot:current_IB:n_contact,tot:current_IB:p_contact,avg:g_IB:em,avg:g_IB:bar,avg:g_IB:win,avg:g_IB:buf,avg:g_IB:I,tot:g_IB:em,tot:g_IB:bar,tot:g_IB:win,tot:g_IB:buf,tot:g_IB:I,tot:g_SRH_IB:em,tot:g_SRH_IB:bar,tot:g_SRH_IB:win,tot:g_SRH_IB:buf,tot:g_SRH_IB:I,tot:g_nr_top_IB:em,tot:g_nr_top_IB:bar,tot:g_nr_top_IB:win,tot:g_nr_top_IB:buf,tot:g_nr_top_IB:I,tot:g_nr_bottom_IB:em,tot:g_nr_bottom_IB:bar,tot:g_nr_bottom_IB:win,tot:g_nr_bottom_IB:buf,tot:g_nr_bottom_IB:I,tot:g_opt_cv_IB:em,tot:g_opt_cv_IB:bar,tot:g_opt_cv_IB:win,tot:g_opt_cv_IB:buf,tot:g_opt_cv_IB:I,tot:g_opt_ci_IB:em,tot:g_opt_ci_IB:bar,tot:g_opt_ci_IB:win,tot:g_opt_ci_IB:buf,tot:g_opt_ci_IB:I,tot:g_opt_iv_IB:em,tot:g_opt_iv_IB:bar,tot:g_opt_iv_IB:win,tot:g_opt_iv_IB:buf,tot:g_opt_iv_IB:I,avg:current_VB:n_contact,avg:current_VB:p_contact,tot:current_VB:n_contact,tot:current_VB:p_contact,avg:g_VB:em,avg:g_VB:bar,avg:g_VB:win,avg:g_VB:buf,avg:g_VB:I,tot:g_VB:em,tot:g_VB:bar,tot:g_VB:win,tot:g_VB:buf,tot:g_VB:I,tot:g_SRH_VB:em,tot:g_SRH_VB:bar,tot:g_SRH_VB:win,tot:g_SRH_VB:buf,tot:g_SRH_VB:I,tot:g_nr_top_VB:em,tot:g_nr_top_VB:bar,tot:g_nr_top_VB:win,tot:g_nr_top_VB:buf,tot:g_nr_top_VB:I,tot:g_nr_bottom_VB:em,tot:g_nr_bottom_VB:bar,tot:g_nr_bottom_VB:win,tot:g_nr_bottom_VB:buf,tot:g_nr_bottom_VB:I,tot:g_opt_cv_VB:em,tot:g_opt_cv_VB:bar,tot:g_opt_cv_VB:win,tot:g_opt_cv_VB:buf,tot:g_opt_cv_VB:I,tot:g_opt_ci_VB:em,tot:g_opt_ci_VB:bar,tot:g_opt_ci_VB:win,tot:g_opt_ci_VB:buf,tot:g_opt_ci_VB:I,tot:g_opt_iv_VB:em,tot:g_opt_iv_VB:bar,tot:g_opt_iv_VB:win,tot:g_opt_iv_VB:buf,tot:g_opt_iv_VB:I
# ,,,,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s
0.0,-1,-1,1,-112.72928916187091,8.781133644421272,-1.127292891618709e-06,8.781133644421271e-08,4.8284240136435726e+22,3.247382475243703e+22,5.497894485312467e+22,1.262962147502915e+22,-2.965130210893831e+22,4828424013.643572,3247382475.2437034,1649368345.5937395,3788886442.508744,-5930260421.78766,-16286310.289568132,-599973.6061293131,-3354500.123330883,-12922694.431678519,-137.11879842981216,0.0,0.0,0.0,0.0,-9903040398.92233,0.0,0.0,0.0,0.0,0.0,4844710323.932863,3247982448.8498282,1652807295.454524,3801809137.0069146,3967094720.161392,0.0,0.0,0.0,0.0,5685394.092074107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6527275845708568e-06,1832.1221058561791,1.4752447866020422e-34,1.4748959723966102e-25,5683564.984456747,0.0,0.0,0.0,0.0,0.0,2844659.245553074,219974.89176016397,2.52720476825346e-22,1.7701580189649093e-23,21809470255.63546,0.0,0.0,0.0,0.0,0.0,4845058756.366288,3247676215.7150564,1652922772.8063562,3802443809.369982,3967520192.654227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7230993360.2809925,0.0,0.0,0.0,0.0,0.0014461986720561981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9903040398.92233,0.0,0.0,0.0,0.0,-31709889863.06714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5685394.092074107,0.0,0.0,0.0,0.0,21812534858.23831,53.516828026312076,-67.99359477998028,5.351682802631207e-07,-6.799359477998027e-07,4.8284240136435726e+22,3.247382475243703e+22,5.497894485312467e+22,1.262962147502915e+22,-2.9651302108931065e+22,4828424013.643572,3247382475.2437034,1649368345.5937395,3788886442.508744,-5930260421.786212,-16286310.289568132,-599973.6061293131,-3354500.123330883,-12922694.431678519,-137.11879842981216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31709889863.06714,4844710323.932863,3247982448.8498282,1652807295.454524,3801809137.0069146,3967094720.161392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21812534858.23831
0.024,-1,-1,1,-112.73246197153563,8.781120498377554,-1.127324619715356e-06,8.781120498377551e-08,4.82842312014743e+22,3.247368943686718e+22,5.497894245335863e+22,1.2630369303935614e+22,-2.9651365355030994e+22,4828423120.147429,3247368943.686718,1649368273.6007583,3789110791.1806817,-5930273071.006198,-16287152.181842593,-613505.1630921608,-3354568.060438901,-12682986.663985915,-137.12322271780212,0.0,0.0,0.0,0.0,-9903013417.938723,0.0,0.0,0.0,0.0,0.0,4844710272.328994,3247982448.8498054,1652807293.657226,3801793777.9133954,3967094720.1608577,0.0,0.0,0.0,0.0,5645763.894890783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6567860707866031e-06,1777.5695031181822,1.4788501165560017e-34,1.4309698017842568e-25,5643989.339867944,0.0,0.0,0.0,0.0,0.0,2844659.2455530316,220202.47207214808,2.5272047682534186e-22,1.7719905240938006e-23,21809637416.540733,0.0,0.0,0.0,0.0,0.0,4845058756.366289,3247676215.715056,1652922772.8063564,3802443809.3699803,3967520192.6542253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-300815869122.74365,0.0,0.0,0.0,0.0,-0.06016317382454872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9903013417.938723,0.0,0.0,0.0,0.0,-31710069900.827736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5645763.894890783,0.0,0.0,0.0,0.0,21812702246.72373,54.8912090146391,-66.62237345527465,5.48912090146391e-07,-6.662237345527465e-07,4.82842312014743e+22,3.247368943686718e+22,5.497894245335863e+22,1.2630369303935614e+22,-2.9651365355331785e+22,4828423120.147429,3247368943.686718,1649368273.6007583,3789110791.1806817,-5930273071.066356,-16287152.181842593,-613505.1630921608,-3354568.060438901,-12682986.663985915,-137.12322271780212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31710069900.827736,4844710272.328994,3247982448.8498054,1652807293.657226,3801793777.9133954,3967094720.1608577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21812702246.72373
0.048,-1,-1,1,-112.73551256033748,8.78110690633481,-1.1273551256033748e-06,8.781106906334808e-08,4.82842238520283e+22,3.2473528553138115e+22,5.497893990425272e+22,1.2631103187707098e+22,-2.9651433953586567e+22,4828422385.202828,3247352855.313812,1649368197.1275806,3789330956.3121276,-5930286790.717313,-16287842.446576249,-629593.5359550585,-3354640.225357959,-12449289.479001937,-137.1292605654939,0.0,0.0,0.0,0.0,-9902987145.55406,0.0,0.0,0.0,0.0,0.0,4844710227.649126,3247982448.849762,1652807291.7471812,3801780245.861844,3967094720.160384,0.0,0.0,0.0,0.0,5605771.805615747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6603540428879497e-06,1723.449615680103,1.4820196421030769e-34,1.3873925329358592e-25,5604051.3704723455,0.0,0.0,0.0,0.0,0.0,2844659.2455529897,220428.19208164056,2.5272047682533814e-22,1.7738080298906305e-23,21809806105.42899,0.0,0.0,0.0,0.0,0.0,4845058756.366285,3247676215.715049,1652922772.8063562,3802443809.369973,3967520192.654221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-435859076678.753,0.0,0.0,0.0,0.0,-0.08717181533575058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9902987145.55406,0.0,0.0,0.0,0.0,-31710252535.167416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5605771.805615747,0.0,0.0,0.0,0.0,21812871161.3318,56.100035211298675,-65.41658425537403,5.610003521129867e-07,-6.541658425537403e-07,4.82842238520283e+22,3.2473528553138115e+22,5.497893990425272e+22,1.2631103187707098e+22,-2.9651433954022435e+22,4828422385.202828,3247352855.313812,1649368197.1275806,3789330956.3121276,-5930286790.804486,-16287842.446576249,-629593.5359550585,-3354640.225357959,-12449289.479001937,-137.1292605654939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31710252535.167416,4844710227.649126,3247982448.849762,1652807291.7471812,3801780245.861844,3967094720.160384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21812871161.3318
0.07200000000000001,-1,-1,1,-112.73833898440674,8.78109594548583,-1.1273833898440673e-06,8.78109594548583e-08,4.8284215851757334e+22,3.247333520658153e+22,5.497893789321195e+22,1.263180450651219e+22,-2.965150635445928e+22,4828421585.175733,3247333520.6581535,1649368136.7963579,3789541351.953655,-5930301270.891854,-16288601.816765126,-648928.1915640661,-3354697.157698811,-12227023.678688496,-137.13687830743905,0.0,0.0,0.0,0.0,-9902961283.008839,0.0,0.0,0.0,0.0,0.0,4844710186.992225,3247982448.849714,1652807290.2409475,3801768375.7048087,3967094720.15998,0.0,0.0,0.0,0.0,5565429.093883558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6634772127591704e-06,1669.7937348931255,1.4847940478361228e-34,1.3441893561682214e-25,5563762.314613071,0.0,0.0,0.0,0.0,0.0,2844659.2455529524,220651.9204228919,2.5272047682533504e-22,1.7756094788298758e-23,21809976274.766933,0.0,0.0,0.0,0.0,0.0,4845058756.366288,3247676215.715052,1652922772.806356,3802443809.369978,3967520192.6542234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-427616396918.89294,0.0,0.0,0.0,0.0,-0.08552327938377857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9902961283.008839,0.0,0.0,0.0,0.0,-31710437408.398388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5565429.093883558,0.0,0.0,0.0,0.0,21813041554.397907,57.15855258458767,-64.36088234530497,5.715855258458766e-07,-6.436088234530496e-07,4.8284215851757334e+22,3.247333520658153e+22,5.497893789321195e+22,1.263180450651219e+22,-2.965150635488687e+22,4828421585.175733,3247333520.6581535,1649368136.7963579,3789541351.953655,-5930301270.977372,-16288601.816765126,-648928.1915640661,-3354697.157698811,-12227023.678688496,-137.13687830743905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31710437408.398388,4844710186.992225,3247982448.849714,1652807290.2409475,3801768375.7048087,3967094720.15998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21813041554.397907
0.096,-1,-1,1,-112.740865403292,8.781086010200212,-1.1274086540329198e-06,8.78108601020021e-08,4.8284207953639935e+22,3.247310195389854e+22,5.497893607285617e+22,1.2632460290508034e+22,-2.9651583880635838e+22,4828420795.363993,3247310195.3898544,1649368082.1856842,3789738087.152409,-5930316776.127166,-16289355.189671272,-672253.4597907512,-3354748.691767858,-12019884.064612363,-137.14601067693587,0.0,0.0,0.0,0.0,-9902936108.008125,0.0,0.0,0.0,0.0,0.0,4844710150.5533905,3247982448.8496404,1652807288.8776062,3801757971.2910256,3967094720.1596265,0.0,0.0,0.0,0.0,5524748.867329797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6662091832615231e-06,1616.6343631481243,1.4872209219427485e-34,1.3013864357229292e-25,5523135.247423389,0.0,0.0,0.0,0.0,0.0,2844659.2455529193,220873.5207603841,2.527204768253322e-22,1.7773937734198193e-23,21810147869.265697,0.0,0.0,0.0,0.0,0.0,4845058756.366285,3247676215.715052,1652922772.806356,3802443809.369976,3967520192.6542244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-167206171900.034,0.0,0.0,0.0,0.0,-0.03344123438000679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9902936108.008125,0.0,0.0,0.0,0.0,-31710624729.671062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5524748.867329797,0.0,0.0,0.0,0.0,21813213370.496822,58.08470733702415,-63.437244076468595,5.808470733702414e-07,-6.343724407646859e-07,4.8284207953639935e+22,3.247310195389854e+22,5.497893607285617e+22,1.2632460290508034e+22,-2.965158388080307e+22,4828420795.363993,3247310195.3898544,1649368082.1856842,3789738087.152409,-5930316776.160612,-16289355.189671272,-672253.4597907512,-3354748.691767858,-12019884.064612363,-137.14601067693587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31710624729.671062,4844710150.5533905,3247982448.8496404,1652807288.8776062,3801757971.2910256,3967094720.1596265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21813213370.496822
0.12,-1,-1,1,-112.74303634536399,8.78107768837888,-1.1274303634536398e-06,8.781077688378879e-08,4.828420276601933e+22,3.2472820758709807e+22,5.497893453905584e+22,1.2633062047765796e+22,-2.96516682208236e+22,4828420276.601932,3247282075.870981,1649368036.1716745,3789918614.3297367,-5930333644.164719,-16289843.912735803,-700372.9785689147,-3354792.11348612,-11830209.675159236,-137.1565675456765,0.0,0.0,0.0,0.0,-9902911972.526567,0.0,0.0,0.0,0.0,0.0,4844710120.514388,3247982448.8495455,1652807287.7287374,3801748824.0802565,3967094720.1593175,0.0,0.0,0.0,0.0,5483745.359093102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.668606507371982e-06,1564.0046548372602,1.4893505141565731e-34,1.2590104596104694e-25,5482184.3688876545,0.0,0.0,0.0,0.0,0.0,2844659.2455528975,221092.85409976201,2.527204768253303e-22,1.7791597948111185e-23,21810320828.8882,0.0,0.0,0.0,0.0,0.0,4845058756.366287,3247676215.715053,1652922772.8063562,3802443809.3699794,3967520192.654227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-230820756405.592,0.0,0.0,0.0,0.0,-0.04616415128111839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9902911972.526567,0.0,0.0,0.0,0.0,-31710814776.66612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5483745.359093102,0.0,0.0,0.0,0.0,21813386549.452473,58.897477130575226,-62.6266369031682,5.889747713057522e-07,-6.262663690316819e-07,4.828420276601933e+22,3.2472820758709807e+22,5.497893453905584e+22,1.2633062047765796e+22,-2.9651668221054373e+22,4828420276.601932,3247282075.870981,1649368036.1716745,3789918614.3297367,-5930333644.210874,-16289843.912735803,-700372.9785689147,-3354792.11348612,-11830209.675159236,-137.1565675456765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31710814776.66612,4844710120.514388,3247982448.8495455,1652807287.7287374,3801748824.0802565,3967094720.1593175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21813386549.452473
0.14400000000000002,-1,-1,1,-112.7448126511159,8.781070402498456,-1.1274481265111588e-06,8.781070402498454e-08,4.8284197914917395e+22,3.247248275088792e+22,5.4978933203186276e+22,1.2633605007846737e+22,-2.965175898648372e+22,4828419791.491738,3247248275.0887923,1649367996.0955875,3790081502.3540196,-5930351797.296743,-16290302.25399979,-734173.7606386216,-3354829.9318046207,-11659227.666490743,-137.16844140500032,0.0,0.0,0.0,0.0,-9902888813.554495,0.0,0.0,0.0,0.0,0.0,4844710093.7454605,3247982448.8494253,1652807286.7282448,3801740730.0970755,3967094720.159049,0.0,0.0,0.0,0.0,5442433.267139573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6707240990459967e-06,1511.9379029049903,1.4912316058563639e-34,1.2170882261939435e-25,5440924.34367901,0.0,0.0,0.0,0.0,0.0,2844659.2455528677,221309.78090938475,2.5272047682532775e-22,1.780906419879028e-23,21810495091.637634,0.0,0.0,0.0,0.0,0.0,4845058756.36629,3247676215.71506,1652922772.8063562,3802443809.3699865,3967520192.6542315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-263880528509.6169,0.0,0.0,0.0,0.0,-0.05277610570192337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9902888813.554495,0.0,0.0,0.0,0.0,-31711007409.468674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5442433.267139573,0.0,0.0,0.0,0.0,21813561029.12853,59.615358651794324,-61.910524401820595,5.961535865179432e-07,-6.191052440182058e-07,4.8284197914917395e+22,3.247248275088792e+22,5.4978933203186276e+22,1.2633605007846737e+22,-2.965175898674757e+22,4828419791.491738,3247248275.0887923,1649367996.0955875,3790081502.3540196,-5930351797.349514,-16290302.25399979,-734173.7606386216,-3354829.9318046207,-11659227.666490743,-137.16844140500032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31711007409.468674,4844710093.7454605,3247982448.8494253,1652807286.7282448,3801740730.0970755,3967094720.159049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21813561029.12853
0.168,-1,-1,1,-112.74616506083649,8.78106475132257,-1.1274616506083647e-06,8.781064751322569e-08,4.828419325544307e+22,3.2472078017977117e+22,5.497893219839671e+22,1.263408686617679e+22,-2.9651856654138792e+22,4828419325.544306,3247207801.797712,1649367965.9519005,3790226059.8530354,-5930371330.827758,-16290744.004893996,-774647.051550107,-3354858.3772777487,-11507435.704402003,-137.1815234950543,0.0,0.0,0.0,0.0,-9902866741.316858,0.0,0.0,0.0,0.0,0.0,4844710069.548924,3247982448.849257,1652807285.9761643,3801733495.635081,3967094720.1588016,0.0,0.0,0.0,0.0,5400827.511817883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67261393113132e-06,1460.4672594083177,1.4929103840681708e-34,1.175646419216957e-25,5399370.058994094,0.0,0.0,0.0,0.0,0.0,2844659.2455528523,221524.16228328098,2.52720476825326e-22,1.7826325305863203e-23,21810670594.58092,0.0,0.0,0.0,0.0,0.0,4845058756.36629,3247676215.715055,1652922772.8063567,3802443809.3699813,3967520192.6542263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-331838140264.15356,0.0,0.0,0.0,0.0,-0.0663676280528307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9902866741.316858,0.0,0.0,0.0,0.0,-31711202660.324406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5400827.511817883,0.0,0.0,0.0,0.0,21813736746.452995,60.255865163685385,-61.27136464847401,6.025586516368538e-07,-6.1271364648474e-07,4.828419325544307e+22,3.2472078017977117e+22,5.497893219839671e+22,1.263408686617679e+22,-2.9651856654470595e+22,4828419325.544306,3247207801.797712,1649367965.9519005,3790226059.8530354,-5930371330.894118,-16290744.004893996,-774647.051550107,-3354858.3772777487,-11507435.704402003,-137.1815234950543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31711202660.324406,4844710069.548924,3247982448.849257,1652807285.9761643,3801733495.635081,3967094720.1588016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21813736746.452995
0.192,-1,-1,1,-112.74707022165661,8.781057505577593,-1.127470702216566e-06,8.781057505577591e-08,4.828418870633721e+22,3.2471595239649107e+22,5.497893084061787e+22,1.2634507086037277e+22,-2.9651962922730865e+22,4828418870.633719,3247159523.964911,1649367925.2185354,3790352125.8111815,-5930392584.546171,-16291176.684363173,-822924.8841377703,-3354896.8158512074,-11374816.97064484,-137.19571175259745,0.0,0.0,0.0,0.0,-9902846110.486923,0.0,0.0,0.0,0.0,0.0,4844710047.317807,3247982448.8490453,1652807284.9589033,3801726942.860448,3967094720.1585755,0.0,0.0,0.0,0.0,5358942.977881118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6743235644898999e-06,1409.6254582789416,1.4944290351354527e-34,1.134711384619634e-25,5357536.366852179,0.0,0.0,0.0,0.0,0.0,2844659.2455528285,221735.86109342167,2.5272047682532413e-22,1.7843370232592558e-23,21810847274.936565,0.0,0.0,0.0,0.0,0.0,4845058756.366288,3247676215.7150536,1652922772.8063562,3802443809.3699765,3967520192.654223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-76389228925.10893,0.0,0.0,0.0,0.0,-0.015277845785021782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9902846110.486923,0.0,0.0,0.0,0.0,-31711400806.03157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5358942.977881118,0.0,0.0,0.0,0.0,21813913638.50725,60.83503481953145,-60.69309290770317,6.083503481953144e-07,-6.069309290770315e-07,4.828418870633721e+22,3.2471595239649107e+22,5.497893084061787e+22,1.2634507086037277e+22,-2.9651962922807243e+22,4828418870.633719,3247159523.964911,1649367925.2185354,3790352125.8111815,-5930392584.561447,-16291176.684363173,-822924.8841377703,-3354896.8158512074,-11374816.97064484,-137.19571175259745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31711400806.03157,4844710047.317807,3247982448.8490453,1652807284.9589033,3801726942.860448,3967094720.1585755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21813913638.50725
0.216,-1,-1,1,-112.74750578417972,8.781051955202114,-1.127475057841797e-06,8.781051955202113e-08,4.828418478336283e+22,3.2471021326286715e+22,5.497892982746481e+22,1.2634866012484406e+22,-2.9652078063536503e+22,4828418478.336283,3247102132.6286716,1649367894.8239434,3790459803.7453203,-5930415612.707299,-16291548.843487656,-880316.220108483,-3354925.498099256,-11261104.735619107,-137.21090253060638,0.0,0.0,0.0,0.0,-9902826990.15457,0.0,0.0,0.0,0.0,0.0,4844710027.179493,3247982448.848776,1652807284.2002165,3801720908.5604625,3967094720.158376,0.0,0.0,0.0,0.0,5316794.499796856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6758965286750008e-06,1359.444671688161,1.4958262993111746e-34,1.0943090149381002e-25,5315438.069548686,0.0,0.0,0.0,0.0,0.0,2844659.245552811,221944.74259515642,2.5272047682532267e-22,1.786018813460392e-23,21811025070.13681,0.0,0.0,0.0,0.0,0.0,4845058756.366288,3247676215.7150555,1652922772.8063564,3802443809.369981,3967520192.6542263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53822975605.72626,0.0,0.0,0.0,0.0,-0.010764595121145248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9902826990.15457,0.0,0.0,0.0,0.0,-31711601838.254337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5316794.499796856,0.0,0.0,0.0,0.0,21814091642.588787,61.36755108481321,-60.1610066545691,6.13675510848132e-07,-6.016100665456909e-07,4.828418478336283e+22,3.2471021326286715e+22,5.497892982746481e+22,1.2634866012484406e+22,-2.9652078063590274e+22,4828418478.336283,3247102132.6286716,1649367894.8239434,3790459803.7453203,-5930415612.718054,-16291548.843487656,-880316.220108483,-3354925.498099256,-11261104.735619107,-137.21090253060638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31711601838.254337,4844710027.179493,3247982448.848776,1652807284.2002165,3801720908.5604625,3967094720.158376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21814091642.588787
